Filename,STFT_Time_s,Mel_Filterbank_Time_s,Log_Scaling_Time_s,DCT_Time_s,Total_MFCC_Time_s
..\dataset\raw_audio\Actor_04\03-01-05-02-02-02-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-06-01-01-01-04.wav,0.0044,0.0010,0.0000,0.0000,0.0054
..\dataset\raw_audio\Actor_04\03-01-06-01-01-02-04.wav,0.0032,0.0010,0.0000,0.0000,0.0042
..\dataset\raw_audio\Actor_04\03-01-06-01-02-01-04.wav,0.0050,0.0000,0.0011,0.0000,0.0061
..\dataset\raw_audio\Actor_04\03-01-06-01-02-02-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-06-02-01-01-04.wav,0.0054,0.0010,0.0010,0.0000,0.0075
..\dataset\raw_audio\Actor_04\03-01-06-02-01-02-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-06-02-02-01-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-06-02-02-02-04.wav,0.0040,0.0000,0.0010,0.0000,0.0050
..\dataset\raw_audio\Actor_04\03-01-07-01-01-01-04.wav,0.0040,0.0010,0.0010,0.0000,0.0060
..\dataset\raw_audio\Actor_04\03-01-07-01-01-02-04.wav,0.0040,0.0010,0.0000,0.0010,0.0060
..\dataset\raw_audio\Actor_04\03-01-07-01-02-01-04.wav,0.0041,0.0010,0.0000,0.0000,0.0051
..\dataset\raw_audio\Actor_04\03-01-07-01-02-02-04.wav,0.0041,0.0000,0.0010,0.0010,0.0061
