Filename,MFCC_Extraction_Time_s
../dataset/raw_audio\Actor_04\03-01-06-02-02-02-04.wav,0.0264
../dataset/raw_audio\Actor_04\03-01-07-01-01-01-04.wav,0.0406
../dataset/raw_audio\Actor_04\03-01-07-01-01-02-04.wav,0.0372
../dataset/raw_audio\Actor_04\03-01-07-01-02-01-04.wav,0.0329
../dataset/raw_audio\Actor_04\03-01-07-01-02-02-04.wav,0.0220
../dataset/raw_audio\Actor_04\03-01-07-02-01-01-04.wav,0.0270
../dataset/raw_audio\Actor_04\03-01-07-02-01-02-04.wav,0.0230
../dataset/raw_audio\Actor_04\03-01-07-02-02-01-04.wav,0.0180
../dataset/raw_audio\Actor_04\03-01-07-02-02-02-04.wav,0.0170
../dataset/raw_audio\Actor_04\03-01-08-01-01-01-04.wav,0.0142
../dataset/raw_audio\Actor_04\03-01-08-01-01-02-04.wav,0.0254
../dataset/raw_audio\Actor_04\03-01-08-01-02-01-04.wav,0.0290
../dataset/raw_audio\Actor_04\03-01-08-01-02-02-04.wav,0.0206
../dataset/raw_audio\Actor_04\03-01-08-02-01-01-04.wav,0.0250
../dataset/raw_audio\Actor_04\03-01-08-02-01-02-04.wav,0.0440
../dataset/raw_audio\Actor_04\03-01-08-02-02-01-04.wav,0.0303
../dataset/raw_audio\Actor_04\03-01-08-02-02-02-04.wav,0.0172
../dataset/raw_audio\Actor_05\03-01-01-01-01-01-05.wav,0.0180
../dataset/raw_audio\Actor_05\03-01-01-01-01-02-05.wav,0.0196
../dataset/raw_audio\Actor_05\03-01-01-01-02-01-05.wav,0.0244
../dataset/raw_audio\Actor_05\03-01-01-01-02-02-05.wav,0.0284
../dataset/raw_audio\Actor_05\03-01-02-01-01-01-05.wav,0.0240
../dataset/raw_audio\Actor_05\03-01-02-01-01-02-05.wav,0.0240
../dataset/raw_audio\Actor_05\03-01-02-01-02-01-05.wav,0.0280
../dataset/raw_audio\Actor_05\03-01-02-01-02-02-05.wav,0.0200
../dataset/raw_audio\Actor_05\03-01-02-02-01-01-05.wav,0.0232
../dataset/raw_audio\Actor_05\03-01-02-02-01-02-05.wav,0.0300
../dataset/raw_audio\Actor_05\03-01-02-02-02-01-05.wav,0.0253
../dataset/raw_audio\Actor_05\03-01-02-02-02-02-05.wav,0.0266
../dataset/raw_audio\Actor_05\03-01-03-01-01-01-05.wav,0.0240
../dataset/raw_audio\Actor_05\03-01-03-01-01-02-05.wav,0.0200
../dataset/raw_audio\Actor_05\03-01-03-01-02-01-05.wav,0.0188
../dataset/raw_audio\Actor_05\03-01-03-01-02-02-05.wav,0.0200
../dataset/raw_audio\Actor_05\03-01-03-02-01-01-05.wav,0.0231
../dataset/raw_audio\Actor_05\03-01-03-02-01-02-05.wav,0.0230
../dataset/raw_audio\Actor_05\03-01-03-02-02-01-05.wav,0.0207
../dataset/raw_audio\Actor_05\03-01-03-02-02-02-05.wav,0.0350
../dataset/raw_audio\Actor_05\03-01-04-01-01-01-05.wav,0.0287
../dataset/raw_audio\Actor_05\03-01-04-01-01-02-05.wav,0.0292
../dataset/raw_audio\Actor_05\03-01-04-01-02-01-05.wav,0.0361
../dataset/raw_audio\Actor_05\03-01-04-01-02-02-05.wav,0.0227
../dataset/raw_audio\Actor_05\03-01-04-02-01-01-05.wav,0.0211
../dataset/raw_audio\Actor_05\03-01-04-02-01-02-05.wav,0.0194
../dataset/raw_audio\Actor_05\03-01-04-02-02-01-05.wav,0.0199
../dataset/raw_audio\Actor_05\03-01-04-02-02-02-05.wav,0.0162
../dataset/raw_audio\Actor_05\03-01-05-01-01-01-05.wav,0.0163
../dataset/raw_audio\Actor_05\03-01-05-01-01-02-05.wav,0.0160
../dataset/raw_audio\Actor_05\03-01-05-01-02-01-05.wav,0.0140
../dataset/raw_audio\Actor_05\03-01-05-01-02-02-05.wav,0.0174
../dataset/raw_audio\Actor_05\03-01-05-02-01-01-05.wav,0.0130
../dataset/raw_audio\Actor_05\03-01-05-02-01-02-05.wav,0.0160
../dataset/raw_audio\Actor_05\03-01-05-02-02-01-05.wav,0.0163
../dataset/raw_audio\Actor_05\03-01-05-02-02-02-05.wav,0.0180
../dataset/raw_audio\Actor_05\03-01-06-01-01-01-05.wav,0.0183
../dataset/raw_audio\Actor_05\03-01-06-01-01-02-05.wav,0.0159
../dataset/raw_audio\Actor_05\03-01-06-01-02-01-05.wav,0.0125
../dataset/raw_audio\Actor_05\03-01-06-01-02-02-05.wav,0.0132
../dataset/raw_audio\Actor_05\03-01-06-02-01-01-05.wav,0.0132
../dataset/raw_audio\Actor_05\03-01-06-02-01-02-05.wav,0.0130
../dataset/raw_audio\Actor_05\03-01-06-02-02-01-05.wav,0.0140
../dataset/raw_audio\Actor_05\03-01-06-02-02-02-05.wav,0.0133
../dataset/raw_audio\Actor_05\03-01-07-01-01-01-05.wav,0.0182
../dataset/raw_audio\Actor_05\03-01-07-01-01-02-05.wav,0.0161
../dataset/raw_audio\Actor_05\03-01-07-01-02-01-05.wav,0.0170
../dataset/raw_audio\Actor_05\03-01-07-01-02-02-05.wav,0.0155
../dataset/raw_audio\Actor_05\03-01-07-02-01-01-05.wav,0.0180
../dataset/raw_audio\Actor_05\03-01-07-02-01-02-05.wav,0.0162
../dataset/raw_audio\Actor_05\03-01-07-02-02-01-05.wav,0.0186
../dataset/raw_audio\Actor_05\03-01-07-02-02-02-05.wav,0.0189
../dataset/raw_audio\Actor_05\03-01-08-01-01-01-05.wav,0.0180
../dataset/raw_audio\Actor_05\03-01-08-01-01-02-05.wav,0.0170
../dataset/raw_audio\Actor_05\03-01-08-01-02-01-05.wav,0.0162
../dataset/raw_audio\Actor_05\03-01-08-01-02-02-05.wav,0.0222
../dataset/raw_audio\Actor_05\03-01-08-02-01-01-05.wav,0.0224
../dataset/raw_audio\Actor_05\03-01-08-02-01-02-05.wav,0.0233
../dataset/raw_audio\Actor_05\03-01-08-02-02-01-05.wav,0.0190
../dataset/raw_audio\Actor_05\03-01-08-02-02-02-05.wav,0.0174
../dataset/raw_audio\Actor_06\03-01-01-01-01-01-06.wav,0.0180
